variant,backbone,split,accuracy,precision,recall,f1,auc
LSTM,egovlp,step,68.796992481203,0.0,0.0,0.0,50.0
MLP,egovlp,step,57.14285714285714,36.36363636363637,49.79919678714859,42.03389830508474,58.433369177987
Transformer,egovlp,step,51.253132832080205,31.958762886597935,49.79919678714859,38.93249607535322,50.56583346134996
