variant,backbone,split,accuracy,precision,recall,f1,auc
LSTM,egovlp,recordings,35.91654247391952,35.91654247391952,100.0,52.85087719298246,50.0
MLP,egovlp,recordings,45.30551415797318,38.28996282527881,85.47717842323651,52.88831835686778,52.698542892984655
Transformer,egovlp,recordings,40.23845007451565,35.0187265917603,77.59336099585063,48.25806451612903,46.489916047476605
LSTM,egovlp,step,68.796992481203,0.0,0.0,0.0,50.0
MLP,egovlp,step,57.14285714285714,36.36363636363637,49.79919678714859,42.03389830508474,58.433369177987
Transformer,egovlp,step,51.253132832080205,31.958762886597935,49.79919678714859,38.93249607535322,50.56583346134996
