Overall Metrics
Metric,Value
accuracy,39.79
precision,35.83
recall,85.48
f1,50.49
auc,47.11

Per Error Type Metrics
Error Type,Count,Accuracy,Precision,Recall,F1,AUC
Technique Error,59,22.70,11.93,84.75,20.92,43.22
Preparation Error,49,20.67,9.34,77.55,16.67,44.90
Temperature Error,8,15.75,2.12,100.00,4.16,59.99
Measurement Error,50,21.88,10.65,88.00,19.01,54.20
Timing Error,26,18.86,6.35,96.15,11.90,59.95
